Fecha,Prediccion_NN
2014-03-26,908.37823
2014-03-27,915.2005
2014-03-28,922.02277
2014-03-29,928.8447
2014-03-30,935.66705
2014-03-31,942.4892
2014-04-01,744.91736
2014-04-02,750.8442
2014-04-03,757.0109
2014-04-04,763.3068
2014-04-05,769.8292
2014-04-06,776.6418
2014-04-07,783.4544
2014-04-08,790.2676
2014-04-09,797.08075
2014-04-10,803.89594
2014-04-11,810.7202
2014-04-12,817.5446
2014-04-13,824.36896
2014-04-14,831.1934
2014-04-15,838.01776
2014-04-16,844.84235
2014-04-17,851.66675
2014-04-18,858.49146
2014-04-19,865.31616
2014-04-20,872.1407
2014-04-21,878.96515
2014-04-22,885.7895
2014-04-23,892.6139
2014-04-24,899.43634
2014-04-25,906.2586
2014-04-26,913.08075
2014-04-27,919.903
2014-04-28,926.72516
2014-04-29,933.5473
2014-04-30,940.3695
2014-05-01,748.9805
2014-05-02,755.0948
2014-05-03,761.32416
2014-05-04,767.75354
2014-05-05,774.5253
2014-05-06,781.3381
2014-05-07,788.1508
2014-05-08,794.964
2014-05-09,801.77765
2014-05-10,808.5998
2014-05-11,815.42413
2014-05-12,822.2486
2014-05-13,829.07294
2014-05-14,835.8974
2014-05-15,842.72186
2014-05-16,849.5464
2014-05-17,856.3708
2014-05-18,863.19543
2014-05-19,870.02
2014-05-20,876.84467
2014-05-21,883.669
2014-05-22,890.49335
2014-05-23,897.3166
2014-05-24,904.13873
2014-05-25,910.96094
2014-05-26,917.78314
2014-05-27,924.6054
2014-05-28,931.42755
2014-05-29,938.24976
2014-05-30,945.072
2014-05-31,951.8941
2014-06-01,753.1785
2014-06-02,759.3454
2014-06-03,765.7045
2014-06-04,772.4089
2014-06-05,779.2215
2014-06-06,786.0341
2014-06-07,792.84735
2014-06-08,799.66077
2014-06-09,806.4793
2014-06-10,813.3038
2014-06-11,820.12805
2014-06-12,826.9525
2014-06-13,833.7769
2014-06-14,840.6014
2014-06-15,847.4259
2014-06-16,854.2503
2014-06-17,861.07477
2014-06-18,867.8994
2014-06-19,874.724
2014-06-20,881.5484
2014-06-21,888.3728
2014-06-22,895.19684
2014-06-23,902.0191
2014-06-24,908.8412
2014-06-25,915.66345
2014-06-26,922.4856
2014-06-27,929.30786
2014-06-28,936.12994
2014-06-29,942.9523
2014-06-30,949.77435
2014-07-01,757.4292
2014-07-02,763.7209
2014-07-03,770.2924
2014-07-04,777.10504
2014-07-05,783.91766
2014-07-06,790.7305
2014-07-07,797.544
2014-07-08,804.35913
2014-07-09,811.1832
2014-07-10,818.0076
2014-07-11,824.8321
2014-07-12,831.6565
2014-07-13,838.48096
2014-07-14,845.3054
2014-07-15,852.1298
2014-07-16,858.95416
2014-07-17,865.77875
2014-07-18,872.60333
2014-07-19,879.4278
2014-07-20,886.2522
2014-07-21,893.0766
2014-07-22,899.89935
2014-07-23,906.7215
2014-07-24,913.54376
2014-07-25,920.3659
2014-07-26,927.1881
2014-07-27,934.01025
2014-07-28,940.83246
2014-07-29,947.6547
2014-07-30,954.477
2014-07-31,961.299
2014-08-01,761.7382
2014-08-02,768.2036
2014-08-03,774.9886
2014-08-04,781.8012
2014-08-05,788.6139
2014-08-06,795.4272
2014-08-07,802.2409
2014-08-08,809.0628
2014-08-09,815.88715
2014-08-10,822.7116
2014-08-11,829.5361
2014-08-12,836.36053
2014-08-13,843.1849
2014-08-14,850.0094
2014-08-15,856.8337
2014-08-16,863.6581
2014-08-17,870.4826
2014-08-18,877.3072
2014-08-19,884.1318
2014-08-20,890.9561
2014-08-21,897.77954
2014-08-22,904.6018
2014-08-23,911.424
2014-08-24,918.2463
2014-08-25,925.0684
2014-08-26,931.89056
2014-08-27,938.7128
2014-08-28,945.5349
2014-08-29,952.35724
2014-08-30,959.17926
2014-08-31,966.0015
2014-09-01,766.1429
2014-09-02,772.872
2014-09-03,779.68463
2014-09-04,786.4973
2014-09-05,793.31036
2014-09-06,800.124
2014-09-07,806.94257
2014-09-08,813.7668
2014-09-09,820.59125
2014-09-10,827.41565
2014-09-11,834.2399
2014-09-12,841.0645
2014-09-13,847.8889
2014-09-14,854.71326
2014-09-15,861.5374
2014-09-16,868.36194
2014-09-17,875.1866
2014-09-18,882.01117
2014-09-19,888.8355
2014-09-20,895.6597
